Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,4795850,7373,0,78009,4533.29,0.057%,937.38938,380.12,116.19,415.2
TOTAL,4795850,7373,0,78009,4533.29,0.057%,937.38938,380.12,116.19,415.2
